Bin_Center,Bin_edge,Image_1,Image_2,Image_3,Image_4,Image_5,Image_6
1727.5,1725,0,8,172,1443,200,45
1732.5,1730,0,13,167,1476,199,33
1737.5,1735,0,9,145,1473,224,25
1742.5,1740,0,6,160,1501,217,28
1747.5,1745,0,7,151,1501,216,35
1752.5,1750,0,7,151,1467,238,32
1757.5,1755,0,4,149,1456,244,40
1762.5,1760,0,13,147,1490,257,36
1767.5,1765,0,14,142,1497,267,26
1772.5,1770,0,7,139,1409,284,43
1777.5,1775,0,7,129,1374,276,38
1782.5,1780,0,2,154,1308,304,24
1787.5,1785,0,4,130,1384,303,31
1792.5,1790,0,5,147,1278,306,41
1797.5,1795,0,10,141,1262,308,37
1802.5,1800,0,4,151,1229,330,26
1807.5,1805,0,1,128,1212,356,43
1812.5,1810,0,6,133,1159,364,38
1817.5,1815,0,5,152,1174,343,27
1822.5,1820,0,5,133,1103,375,27
1827.5,1825,0,5,127,1143,389,38
1832.5,1830,0,4,136,1132,356,32
1837.5,1835,0,4,145,1071,395,43
1842.5,1840,0,3,111,1113,370,33
1847.5,1845,0,3,102,1025,373,35
1852.5,1850,0,1,102,1070,397,41
1857.5,1855,0,0,120,1015,397,41
1862.5,1860,0,1,93,942,407,37
1867.5,1865,0,1,111,906,410,39
1872.5,1870,0,0,112,833,430,51
1877.5,1875,0,0,90,814,454,44
1882.5,1880,0,0,116,833,403,48
1887.5,1885,0,0,113,755,449,37
1892.5,1890,0,0,97,761,443,31
1897.5,1895,0,0,104,756,427,37
1902.5,1900,0,0,102,716,458,35
1907.5,1905,0,0,111,739,479,43
1912.5,1910,0,0,94,713,503,28
1917.5,1915,0,0,122,671,507,49
1922.5,1920,0,0,108,725,526,26
1927.5,1925,0,0,109,667,593,27
1932.5,1930,0,0,95,733,599,35
1937.5,1935,0,0,106,654,578,28
1942.5,1940,0,0,94,683,557,38
1947.5,1945,0,0,105,693,632,37
1952.5,1950,0,0,94,679,666,51
1957.5,1955,0,0,78,696,618,34
1962.5,1960,0,0,84,683,574,39
1967.5,1965,0,0,73,730,598,40
1972.5,1970,0,0,76,645,659,42
1977.5,1975,0,0,66,720,629,44
1982.5,1980,0,0,74,692,607,42
1987.5,1985,0,0,65,688,604,43
1992.5,1990,0,0,77,698,596,45
1997.5,1995,0,0,74,610,680,39
2002.5,2000,0,0,77,632,584,34
2007.5,2005,0,0,70,625,581,37
2012.5,2010,0,0,77,605,553,52
2017.5,2015,0,0,79,582,538,37
2022.5,2020,0,0,73,555,582,48
2027.5,2025,0,0,67,544,564,37
2032.5,2030,0,0,73,551,579,43
2037.5,2035,0,0,51,521,554,43
2042.5,2040,0,0,80,505,514,61
2047.5,2045,0,0,63,460,526,39
2052.5,2050,0,0,79,390,564,44
2057.5,2055,0,0,80,384,559,52
2062.5,2060,0,0,75,362,562,58
2067.5,2065,0,0,69,318,618,53
2072.5,2070,0,0,78,330,579,33
2077.5,2075,0,0,67,306,559,37
2082.5,2080,0,0,63,265,570,50
2087.5,2085,0,0,84,271,552,46
2092.5,2090,0,0,55,263,577,49
2097.5,2095,0,0,76,227,589,51
2102.5,2100,0,0,53,204,581,62
2107.5,2105,0,0,47,218,592,65
2112.5,2110,0,0,61,196,591,62
2117.5,2115,0,0,44,172,588,52
2122.5,2120,0,0,26,177,592,65
2127.5,2125,0,0,29,180,629,64
2132.5,2130,0,0,31,160,578,63
2137.5,2135,0,0,23,153,620,61
2142.5,2140,0,0,22,152,581,55
2147.5,2145,0,0,14,167,593,65
2152.5,2150,0,0,11,145,615,63
2157.5,2155,0,0,9,157,623,81
2162.5,2160,0,0,7,125,652,77
2167.5,2165,0,0,9,124,623,69
2172.5,2170,0,0,2,129,633,66
2177.5,2175,0,0,2,131,645,74
2182.5,2180,0,0,4,134,661,71
2187.5,2185,0,0,8,115,667,70
2192.5,2190,0,0,3,123,642,74
2197.5,2195,0,0,6,109,726,73
2202.5,2200,0,0,5,99,692,89
2207.5,2205,0,0,4,115,708,76
2212.5,2210,0,0,3,100,686,96
2217.5,2215,0,0,3,84,688,82
2222.5,2220,0,0,5,84,715,92
2227.5,2225,0,0,8,88,673,83
2232.5,2230,0,0,4,87,683,107
2237.5,2235,0,0,8,89,686,114
2242.5,2240,0,0,5,90,737,118
2247.5,2245,0,0,4,84,717,114
2252.5,2250,0,0,4,91,708,96
2257.5,2255,0,0,7,74,676,107
2262.5,2260,0,0,7,86,728,112
2267.5,2265,0,0,2,76,706,117
2272.5,2270,0,0,4,81,697,126
2277.5,2275,0,0,2,57,773,125
2282.5,2280,0,0,4,85,717,115
2287.5,2285,0,0,4,82,773,117
2292.5,2290,0,0,4,69,746,116
2297.5,2295,0,0,4,80,709,121
2302.5,2300,0,0,3,70,804,116
2307.5,2305,0,0,3,99,766,119
2312.5,2310,0,0,4,66,715,141
2317.5,2315,0,0,7,74,815,119
2322.5,2320,0,0,5,84,775,135
2327.5,2325,0,0,6,71,713,124
2332.5,2330,0,0,3,74,751,122
2337.5,2335,0,0,5,79,726,158
2342.5,2340,0,0,3,78,795,120
2347.5,2345,0,0,3,70,771,137
2352.5,2350,0,0,3,81,733,150
2357.5,2355,0,0,2,74,736,147
2362.5,2360,0,0,2,63,672,157
2367.5,2365,0,0,2,75,684,162
2372.5,2370,0,0,4,72,683,170
2377.5,2375,0,0,2,75,634,175
2382.5,2380,0,0,4,68,679,154
2387.5,2385,0,0,3,60,622,155
2392.5,2390,0,0,1,82,617,175
2397.5,2395,0,0,2,70,585,163
2402.5,2400,0,0,1,62,588,192
2407.5,2405,0,0,5,77,587,188
2412.5,2410,0,0,3,75,570,177
2417.5,2415,0,0,3,63,568,169
2422.5,2420,0,0,1,78,608,166
2427.5,2425,0,0,2,64,565,198
2432.5,2430,0,0,4,56,587,185
2437.5,2435,0,0,3,77,578,210
2442.5,2440,0,0,5,69,586,187
2447.5,2445,0,0,2,66,569,178
2452.5,2450,0,0,0,73,582,188
2457.5,2455,0,0,4,65,608,183
2462.5,2460,0,0,3,70,596,208
2467.5,2465,0,0,1,66,577,165
2472.5,2470,0,0,2,63,574,200
2477.5,2475,0,0,3,61,576,209
2482.5,2480,0,0,5,65,556,195
2487.5,2485,0,0,3,55,580,191
2492.5,2490,0,0,1,65,518,186
2497.5,2495,0,0,1,61,504,196
2502.5,2500,0,0,3,58,544,199
2507.5,2505,0,0,1,62,461,216
2512.5,2510,0,0,1,60,442,193
2517.5,2515,0,0,0,65,433,209
2522.5,2520,0,0,0,48,499,202
