Bin_Center,Bin_edge,Image_1,Image_2,Image_3,Image_4,Image_5,Image_6
4367.5,4365,0,0,0,0,3,167
4372.5,4370,0,0,0,0,9,158
4377.5,4375,0,0,0,0,7,165
4382.5,4380,0,0,0,0,6,158
4387.5,4385,0,0,0,0,5,134
4392.5,4390,0,0,0,0,3,150
4397.5,4395,0,0,0,0,4,126
4402.5,4400,0,0,0,0,4,115
4407.5,4405,0,0,0,0,1,127
4412.5,4410,0,0,0,0,4,104
4417.5,4415,0,0,0,0,0,108
4422.5,4420,0,0,0,0,3,114
4427.5,4425,0,0,0,0,2,102
4432.5,4430,0,0,0,0,0,113
4437.5,4435,0,0,0,0,2,99
4442.5,4440,0,0,0,0,2,86
4447.5,4445,0,0,0,0,0,77
4452.5,4450,0,0,0,0,0,86
4457.5,4455,0,0,0,0,1,81
4462.5,4460,0,0,0,0,0,79
4467.5,4465,0,0,0,0,2,82
4472.5,4470,0,0,0,0,0,60
4477.5,4475,0,0,0,0,1,73
4482.5,4480,0,0,0,0,1,56
4487.5,4485,0,0,0,0,0,53
4492.5,4490,0,0,0,0,2,58
4497.5,4495,0,0,0,0,0,57
4502.5,4500,0,0,0,0,0,47
4507.5,4505,0,0,0,0,1,48
4512.5,4510,0,0,0,0,1,33
4517.5,4515,0,0,0,0,1,33
4522.5,4520,0,0,0,0,0,45
4527.5,4525,0,0,0,0,0,38
4532.5,4530,0,0,0,0,0,28
4537.5,4535,0,0,0,0,1,21
4542.5,4540,0,0,0,0,0,27
4547.5,4545,0,0,0,0,0,18
4552.5,4550,0,0,0,0,0,27
4557.5,4555,0,0,0,0,0,23
4562.5,4560,0,0,0,0,0,22
4567.5,4565,0,0,0,0,0,20
4572.5,4570,0,0,0,0,1,16
4577.5,4575,0,0,0,0,0,15
4582.5,4580,0,0,0,0,0,17
4587.5,4585,0,0,0,0,0,13
4592.5,4590,0,0,0,0,0,15
4597.5,4595,0,0,0,0,0,10
4602.5,4600,0,0,0,0,0,10
4607.5,4605,0,0,0,0,0,14
4612.5,4610,0,0,0,0,0,12
4617.5,4615,0,0,0,0,0,12
4622.5,4620,0,0,0,0,0,6
4627.5,4625,0,0,0,0,1,7
4632.5,4630,0,0,0,0,0,8
4637.5,4635,0,0,0,0,0,7
4642.5,4640,0,0,0,0,0,11
4647.5,4645,0,0,0,0,0,9
4652.5,4650,0,0,0,0,0,6
4657.5,4655,0,0,0,0,0,7
4662.5,4660,0,0,0,0,0,7
4667.5,4665,0,0,0,0,0,3
4672.5,4670,0,0,0,0,0,2
4677.5,4675,0,0,0,0,0,7
4682.5,4680,0,0,0,0,0,3
4687.5,4685,0,0,0,0,0,2
4692.5,4690,0,0,0,0,0,8
4697.5,4695,0,0,0,0,0,3
4702.5,4700,0,0,0,0,0,1
4707.5,4705,0,0,0,0,0,3
4712.5,4710,0,0,0,0,0,2
4717.5,4715,0,0,0,0,0,1
4722.5,4720,0,0,0,0,0,1
4727.5,4725,0,0,0,0,0,4
4732.5,4730,0,0,0,0,0,2
4737.5,4735,0,0,0,0,0,0
4742.5,4740,0,0,0,0,0,0
4747.5,4745,0,0,0,0,0,1
4752.5,4750,0,0,0,0,0,0
4757.5,4755,0,0,0,0,0,3
4762.5,4760,0,0,0,0,0,0
4767.5,4765,0,0,0,0,0,0
4772.5,4770,0,0,0,0,0,0
4777.5,4775,0,0,0,0,0,2
4782.5,4780,0,0,0,0,0,1
4787.5,4785,0,0,0,0,0,0
4792.5,4790,0,0,0,0,0,1
4797.5,4795,0,0,0,0,0,0
4802.5,4800,0,0,0,0,0,0
4807.5,4805,0,0,0,0,0,0
4812.5,4810,0,0,0,0,0,0
4817.5,4815,0,0,0,0,0,1
4822.5,4820,0,0,0,0,0,1
4827.5,4825,0,0,0,0,0,1
4832.5,4830,0,0,0,0,0,0
4837.5,4835,0,0,0,0,0,1
4842.5,4840,0,0,0,0,0,0
4847.5,4845,0,0,0,0,0,0
4852.5,4850,0,0,0,0,0,0
4857.5,4855,0,0,0,0,0,0
4862.5,4860,0,0,0,0,1,1
4867.5,4865,0,0,0,0,0,1
4872.5,4870,0,0,0,0,0,0
4877.5,4875,0,0,0,0,0,1
4882.5,4880,0,0,0,0,0,0
4887.5,4885,0,0,0,0,0,0
4892.5,4890,0,0,0,0,0,0
4897.5,4895,0,0,0,0,0,1
4902.5,4900,0,0,0,0,0,1
4907.5,4905,0,0,0,0,0,0
4912.5,4910,0,0,0,0,0,0
4917.5,4915,0,0,0,0,0,0
4922.5,4920,0,0,0,0,0,0
4927.5,4925,0,0,0,0,0,0
4932.5,4930,0,0,0,0,0,0
4937.5,4935,0,0,0,0,0,0
4942.5,4940,0,0,0,0,0,0
4947.5,4945,0,0,0,0,0,0
4952.5,4950,0,0,0,0,0,0
4957.5,4955,0,0,0,0,0,0
4962.5,4960,0,0,0,0,0,1
4967.5,4965,0,0,0,0,0,0
4972.5,4970,0,0,0,0,0,0
4977.5,4975,0,0,0,0,0,0
4982.5,4980,0,0,0,0,0,0
4987.5,4985,0,0,0,0,0,0
4992.5,4990,0,0,0,0,0,0
4997.5,4995,0,0,0,0,0,0
